2020-12-16T17:34:58.285073+0200 parsing page1 of 1... INFO
2020-12-16T17:34:59.323223+0200 we get 2 laptops INFO
%(asctime)s;%(levelname)s;%(message)s
%(asctime)s;%(levelname)s;%(message)s
2020-12-16T17:40:56.526651+0200 parsing page1 of 1...
2020-12-16T17:40:58.376860+0200 we get 2 laptops
2020-12-16T17:42:25.142678+0200 parsing page1 of 1...
2020-12-16T17:42:27.319246+0200 we get 2 laptops
2020-12-16T17:43:20.288157+0200 parsing page1 of 1... INFO
2020-12-16T17:43:21.843601+0200 we get 2 laptops apple INFO
2020-12-16T17:58:31.826950+0200 parsing page 1 of 1... INFO
2020-12-16T17:58:48.791269+0200 parsing page 1 of 1... INFO
2020-12-16T17:59:13.920560+0200 parsing page 1 of 1... INFO
2020-12-16T17:59:15.028221+0200 we get 2 laptops apple INFO
2020-12-16T18:03:13.916630+0200 parsing page 1 of 1... INFO
2020-12-16T18:19:22.425510+0200 parsing page 1 of 1... INFO
2020-12-16T19:02:57.647805+0200 parsing page 1 of 1... INFO
2020-12-16T19:02:59.119393+0200 we get 2 laptops apple INFO
2020-12-16T19:08:01.673884+0200 parsing page 1 of 1... INFO
2020-12-16T19:08:02.518491+0200 we get 2 laptops apple INFO
2020-12-16T19:13:00.224675+0200 parsing page 1 of 1... INFO
2020-12-16T19:13:01.022504+0200 we get 2 laptops apple INFO
2020-12-16T19:19:49.137847+0200 parsing page 1 of 1... INFO
2020-12-16T19:19:49.995128+0200 we get 2 laptops apple INFO
2020-12-16T19:21:18.180372+0200 parsing page 1 of 1... INFO
2020-12-16T19:21:20.699236+0200 we get 2 laptops apple INFO
2020-12-16T19:21:32.693211+0200 parsing page 1 of 1... INFO
2020-12-16T19:21:33.336045+0200 we get 1 laptops sony INFO
2020-12-16T19:24:49.788943+0200 parsing page 1 of 1... INFO
2020-12-16T19:24:50.370067+0200 we get 1 laptops sony INFO
2020-12-16T19:42:12.803808+0200 parsing page 1 of 1... INFO
2020-12-16T19:42:13.537946+0200 we get 1 laptops sony INFO
2020-12-16T19:44:24.576274+0200 parsing page 1 of 1... INFO
2020-12-16T19:44:25.862834+0200 we get 1 laptops sony INFO
2020-12-16T19:46:13.951277+0200 parsing page 1 of 1... INFO
2020-12-16T19:46:14.671192+0200 we get 1 laptops sony INFO
2020-12-16T19:50:00.699383+0200 parsing page 1 of 1... INFO
2020-12-16T19:50:02.116989+0200 we get 1 laptops sony INFO
2020-12-16T19:50:46.344030+0200 parsing page 1 of 1... INFO
2020-12-16T19:50:46.990522+0200 we get 1 laptops sony INFO
2020-12-16T19:57:45.861124+0200 parsing page 1 of 1... INFO
2020-12-16T19:57:46.370489+0200 we get 1 laptops sony INFO
2020-12-16T19:58:25.600672+0200 parsing page 1 of 1... INFO
2020-12-16T19:58:26.362154+0200 we get 1 laptops sony INFO
2020-12-16T19:58:30.428473+0200 parsing page 1 of 1... INFO
2020-12-16T19:58:30.989493+0200 we get 1 laptops sony INFO
2020-12-16T19:58:38.327647+0200 parsing page 1 of 1... INFO
2020-12-16T19:58:38.942334+0200 we get 1 laptops sony INFO
2020-12-16T19:58:43.042941+0200 parsing page 1 of 1... INFO
2020-12-16T19:58:43.698667+0200 we get 2 laptops apple INFO
2020-12-16T19:58:48.517080+0200 parsing page 1 of 1... INFO
2020-12-16T19:58:50.781342+0200 we get 2 laptops apple INFO
2020-12-16T19:58:55.870367+0200 parsing page 1 of 1... INFO
2020-12-16T19:58:56.483504+0200 we get 1 laptops sony INFO
2020-12-16T19:59:03.104605+0200 parsing page 1 of 1... INFO
2020-12-16T19:59:03.857661+0200 we get 2 laptops apple INFO
2020-12-16T19:59:07.661729+0200 parsing page 1 of 1... INFO
2020-12-16T19:59:08.584544+0200 we get 1 laptops sony INFO
2020-12-16T19:59:14.496461+0200 parsing page 1 of 1... INFO
2020-12-16T19:59:15.141156+0200 we get 2 laptops apple INFO
2020-12-16T19:59:46.655972+0200 parsing page 1 of 7... INFO
2020-12-16T19:59:46.656312+0200 parsing page 2 of 7... INFO
2020-12-16T19:59:46.656488+0200 parsing page 3 of 7... INFO
2020-12-16T19:59:46.656603+0200 parsing page 4 of 7... INFO
2020-12-16T19:59:46.656688+0200 parsing page 5 of 7... INFO
2020-12-16T19:59:46.656761+0200 parsing page 6 of 7... INFO
2020-12-16T19:59:46.656830+0200 parsing page 7 of 7... INFO
2020-12-16T19:59:50.249028+0200 we get 420 laptops acer INFO
2020-12-16T20:00:31.079891+0200 parsing page 1 of 1... INFO
2020-12-16T20:00:32.636572+0200 we get 2 laptops apple INFO
2020-12-16T20:00:38.113760+0200 parsing page 1 of 1... INFO
2020-12-16T20:00:39.317398+0200 we get 1 laptops sony INFO
